2026-01-09 17:38:31,Médiathèque Emile Zola,6,16
2026-01-09 17:38:31,Nombre d Or,4,16
2026-01-09 17:38:31,Louis Blanc,7,16
2026-01-09 17:38:31,Gambetta,4,8
2026-01-09 17:38:31,Port Marianne,9,16
2026-01-09 18:01:39,Rue Jules Ferry - Gare Saint-Roch,5,12
2026-01-09 18:01:39,Comédie,9,20
2026-01-09 18:01:39,Hôtel de Ville,11,16
2026-01-09 18:01:39,Corum,2,12
2026-01-09 18:01:39,Place Albert 1er - St Charles,10,27
2026-01-09 18:01:39,Foch,3,8
2026-01-09 18:01:39,Halles Castellane,0,12
2026-01-09 18:01:39,Observatoire,3,8
2026-01-09 18:01:39,Rondelet,5,16
2026-01-09 18:01:39,Plan Cabanes,5,12
2026-01-09 18:01:39,Boutonnet,4,12
2026-01-09 18:01:39,Emile Combes,5,8
2026-01-09 18:01:39,Beaux-Arts,11,16
2026-01-09 18:01:39,Les Aubes,4,8
2026-01-09 18:01:39,Antigone centre,8,12
2026-01-09 18:01:39,Médiathèque Emile Zola,6,16
2026-01-09 18:01:39,Nombre d Or,4,16
2026-01-09 18:01:39,Louis Blanc,8,16
2026-01-09 18:01:39,Gambetta,4,8
2026-01-09 18:01:39,Port Marianne,9,16
2026-01-09 18:39:35,Rue Jules Ferry - Gare Saint-Roch,6,12
2026-01-09 18:39:35,Comédie,9,20
2026-01-09 18:39:35,Hôtel de Ville,10,16
2026-01-09 18:39:35,Corum,2,12
2026-01-09 18:39:35,Place Albert 1er - St Charles,10,27
2026-01-09 18:39:35,Foch,1,8
2026-01-09 18:39:35,Halles Castellane,0,12
2026-01-09 18:39:35,Observatoire,3,8
2026-01-09 18:39:35,Rondelet,5,16
2026-01-09 18:39:35,Plan Cabanes,5,12
2026-01-09 18:39:35,Boutonnet,4,12
2026-01-09 18:39:35,Emile Combes,5,8
2026-01-09 18:39:35,Beaux-Arts,11,16
2026-01-09 18:39:35,Les Aubes,5,8
2026-01-09 18:39:35,Antigone centre,7,12
2026-01-09 18:39:35,Médiathèque Emile Zola,6,16
2026-01-09 18:39:35,Nombre d Or,4,16
2026-01-09 18:39:35,Louis Blanc,8,16
2026-01-09 18:39:35,Gambetta,4,8
2026-01-09 18:39:35,Port Marianne,9,16
2026-01-09 18:55:22,Rue Jules Ferry - Gare Saint-Roch,6,12
2026-01-09 18:55:22,Comédie,9,20
2026-01-09 18:55:22,Hôtel de Ville,10,16
2026-01-09 18:55:22,Corum,2,12
2026-01-09 18:55:22,Place Albert 1er - St Charles,10,27
2026-01-09 18:55:22,Foch,1,8
